Date,Holiday,WeekDay,Month,Day,Year
2012-01-01,New Year's Day,Sunday,1,1,2012
2012-01-16,"Martin Luther King, Jr. Day",Monday,1,16,2012
2012-02-14,Valentine’s Day,Tuesday,2,14,2012
2012-02-20,Washington's Birthday,Monday,2,20,2012
2012-04-08,Western Easter,Sunday,4,8,2012
2012-04-15,Eastern Easter,Sunday,4,15,2012
2012-05-28,Memorial Day,Monday,5,28,2012
2012-06-19,Juneteenth,Tuesday,6,19,2012
2012-07-04,4th of July,Wednesday,7,4,2012
2012-09-01,Labor Day Weekend,Saturday,9,1,2012
2012-09-02,Labor Day Weekend,Sunday,9,2,2012
2012-09-03,Labor Day,Monday,9,3,2012
2012-10-08,Columbus Day,Monday,10,8,2012
2012-11-11,Veterans Day,Sunday,11,11,2012
2012-11-21,Thanksgiving Eve,Wednesday,11,21,2012
2012-11-22,Thanksgiving Day,Thursday,11,22,2012
2012-12-24,Christmas Eve,Monday,12,24,2012
2012-12-25,Christmas Day,Tuesday,12,25,2012
2012-12-31,New Year’s Eve,Monday,12,31,2012